axis;index;value
vertical_x;1014;8
vertical_x;1015;10
vertical_x;1016;9
vertical_x;1017;10
vertical_x;1018;10
vertical_x;1019;9
vertical_x;1020;11
vertical_x;1021;11
vertical_x;1022;8
vertical_x;1023;6
vertical_x;1024;4
vertical_x;1025;2
vertical_x;1026;1
vertical_x;1027;1
vertical_x;1028;0
vertical_x;1029;2
vertical_x;1030;2
vertical_x;1031;2
vertical_x;1032;4
vertical_x;1033;25
vertical_x;1034;25
vertical_x;1035;27
vertical_x;1036;29
vertical_x;1037;10
vertical_x;1038;8
vertical_x;1039;6
vertical_x;1040;3
vertical_x;1041;3
vertical_x;1042;3
vertical_x;1043;3
vertical_x;1044;5
vertical_x;1045;8
vertical_x;1046;8
vertical_x;1047;12
vertical_x;1048;29
vertical_x;1049;25
vertical_x;1050;25
vertical_x;1051;6
vertical_x;1052;2
vertical_x;1053;2
vertical_x;1054;2
vertical_x;1055;0
vertical_x;1056;0
vertical_x;1057;0
vertical_x;1058;0
vertical_x;1059;0
vertical_x;1060;0
vertical_x;1061;0
vertical_x;1062;0
vertical_x;1063;0
vertical_x;1064;0
vertical_x;1065;0
vertical_x;1066;2
vertical_x;1067;2
vertical_x;1068;4
vertical_x;1069;25
vertical_x;1070;25
vertical_x;1071;25
vertical_x;1072;25
vertical_x;1073;4
vertical_x;1074;2
vertical_x;1075;2
vertical_x;1076;2
vertical_x;1077;0
vertical_x;1078;2
vertical_x;1079;2
vertical_x;1080;2
vertical_x;1081;6
vertical_x;1082;25
vertical_x;1083;25
vertical_x;1084;25
vertical_x;1085;4
vertical_x;1086;2
vertical_x;1087;2
vertical_x;1088;1
vertical_x;1089;1
vertical_x;1090;1
vertical_x;1091;1
vertical_x;1092;2
vertical_x;1093;3
vertical_x;1094;25
vertical_x;1095;25
vertical_x;1096;25
vertical_x;1097;25
vertical_x;1098;4
vertical_x;1099;2
vertical_x;1100;2
vertical_x;1101;1
vertical_x;1102;1
vertical_x;1103;1
vertical_x;1104;2
vertical_x;1105;2
vertical_x;1106;3
vertical_x;1107;25
vertical_x;1108;25
